time,mnvel,errvel,tel
2447368.9657,550.0,19.0,mcdonald1
2447369.93,570.8,19.0,mcdonald1
2447369.9346,572.0,19.0,mcdonald1
2447405.9338,500.8,19.0,mcdonald1
2447430.711,530.6,19.0,mcdonald1
2447430.7141,520.5,19.0,mcdonald1
2447459.7569,495.2,19.0,mcdonald1
2447460.7559,488.8,19.0,mcdonald1
2447495.7539,416.4,19.0,mcdonald1
2447495.7597,416.3,19.0,mcdonald1
2447496.7046,437.9,19.0,mcdonald1
2447516.6665,440.0,19.0,mcdonald1
2447517.6587,416.1,19.0,mcdonald1
2447551.6057,397.0,19.0,mcdonald1
2447551.6101,391.9,19.0,mcdonald1
2447582.574,359.1,19.0,mcdonald1
2447696.9685,274.9,19.0,mcdonald1
2447762.9403,220.3,19.0,mcdonald1
2447785.9286,152.9,19.0,mcdonald1
2447785.9319,157.6,19.0,mcdonald1
2447786.8176,171.1,19.0,mcdonald1
2447786.821,166.3,19.0,mcdonald1
2447813.7499,133.5,19.0,mcdonald1
2447848.6803,102.9,19.0,mcdonald1
2447879.6591,70.0,19.0,mcdonald1
2447880.7112,67.7,19.0,mcdonald1
2447895.6235,72.0,19.0,mcdonald1
2448145.8981,-112.5,19.0,mcdonald1
2448145.9039,-112.2,19.0,mcdonald1
2448146.8217,-89.4,19.0,mcdonald1
2448176.8457,-143.4,19.0,mcdonald1
2448176.8513,-153.7,19.0,mcdonald1
2448198.8661,-182.7,19.0,mcdonald1
2448227.7128,-178.0,19.0,mcdonald1
2448523.8192,-277.6,19.0,mcdonald1
2448523.8241,-278.0,19.0,mcdonald1
2448854.9066,-390.1,19.0,mcdonald1
2448903.8517,-426.3,19.0,mcdonald1
2449260.7901,-327.9,19.0,mcdonald1
2449260.7946,-325.2,19.0,mcdonald1
2449649.7368,-235.8,19.0,mcdonald1
2449649.739,-243.4,19.0,mcdonald1
2449649.7411,-234.7,19.0,mcdonald1
2416039.74,-42230.0,750.0,torres
2416208.65,-42430.0,750.0,torres
2416241.61,-42930.0,750.0,torres
2417131.88,-41570.0,560.0,torres
2417146.88,-43170.0,560.0,torres
2417152.83,-43970.0,560.0,torres
2417178.25,-42640.0,750.0,torres
2417180.22,-42990.0,750.0,torres
2417467.48,-43940.0,750.0,torres
2417494.39,-42250.0,750.0,torres
2417853.41,-43370.0,750.0,torres
2423021.62,-47580.0,1880.0,torres
2435109.0,-42300.0,1130.0,torres
2441496.97,-41340.0,1130.0,torres
